Source,Target,Max. Number of Routes,Avg. Number of Routes,Min. Number of Routes
71,52,2,2.0,2
71,53,3,3.0,3
71,54,16,16.0,16
71,55,12,12.0,12
71,56,1,1.0,1
71,58,10,7.5,5
71,61,5,5.0,5
71,65,1,1.0,1
71,66,1,1.0,1
71,70,6,6.0,6
72,26,1,1.0,1
72,71,3,3.0,3
73,40,1,1.0,1
73,48,2,2.0,2
74,20,3,3.0,3
74,34,5,4.5,4
74,46,6,6.0,6
74,47,1,1.0,1
74,50,1,1.0,1
74,63,2,1.5,1
74,66,1,1.0,1
74,71,1,1.0,1
75,36,1,1.0,1
76,11,2,2.0,2
76,12,2,2.0,2
76,17,3,3.0,3
76,41,1,1.0,1
76,71,2,2.0,2
77,1,2,2.0,2
77,2,3,3.0,3
77,4,1,1.0,1
77,6,1,0.5,0
77,7,1,1.0,1
77,11,67,67.0,67
77,12,3,3.0,3
77,14,1,1.0,1
77,16,1,0.5,0
77,17,4,4.0,4
77,18,15,15.0,15
77,24,4,4.0,4
77,26,8,8.0,8
77,29,11,11.0,11
77,35,19,19.0,19
77,36,5,5.0,5
77,41,19,19.0,19
77,44,2,2.0,2
77,51,57,56.0,55
77,52,4,4.0,4
77,53,8,8.0,8
77,54,14,14.0,14
77,55,27,26.5,26
77,58,7,7.0,7
77,61,18,18.0,18
77,65,2,2.0,2
77,66,2,2.0,2
77,70,19,19.0,19
77,71,84,84.0,84
77,76,1,1.0,1
78,20,1,1.0,1
78,30,1,1.0,1
78,50,8,7.5,7
78,61,1,1.0,1
78,66,1,1.0,1
78,77,1,1.0,1
80,1,2,2.0,2
80,8,1,1.0,1
80,11,36,36.0,36
80,18,20,19.0,18
80,29,4,4.0,4
80,35,2,2.0,2
80,51,2,2.0,2
80,53,12,11.5,11
80,54,5,4.5,4
80,55,7,7.0,7
80,61,4,4.0,4
80,65,1,1.0,1
80,70,2,2.0,2
80,71,32,31.0,30
80,76,1,1.0,1
80,77,176,171.0,166
81,55,1,1.0,1
82,16,1,1.0,1
82,35,2,2.0,2
83,6,2,2.0,2
83,35,1,1.0,1
83,57,3,3.0,3
83,58,3,3.0,3
83,71,7,6.5,6
84,10,1,1.0,1
85,19,2,2.0,2
85,44,1,1.0,1
85,49,4,3.0,2
85,62,3,2.0,1
86,71,1,1.0,1
86,77,2,1.5,1
87,50,2,2.0,2
87,71,1,1.0,1
88,36,1,1.0,1
88,75,1,1.0,1
88,87,2,2.0,2
89,16,1,1.0,1
89,35,2,2.0,2
90,35,1,1.0,1
90,58,3,2.5,2
90,71,1,0.5,0
90,83,2,2.0,2
91,19,2,2.0,2
91,37,2,2.0,2
91,49,5,5.0,5
91,62,3,3.0,3
91,85,10,9.0,8
92,10,16,15.5,15
92,15,3,3.0,3
92,28,2,2.0,2
92,31,1,1.0,1
92,33,2,2.0,2
92,35,4,4.0,4
92,41,118,117.5,117
92,66,1,1.0,1
92,69,2,2.0,2
92,70,1,1.0,1
92,71,3,3.0,3
92,77,3,3.0,3
92,84,1,1.0,1
93,11,1,1.0,1
93,12,1,1.0,1
93,17,1,1.0,1
93,18,3,3.0,3
93,51,1,1.0,1
93,53,1,1.0,1
93,54,2,2.0,2
93,55,3,3.0,3
93,61,1,1.0,1
93,70,3,3.0,3
93,71,5,5.0,5
93,77,12,11.5,11
93,80,2,2.0,2
94,18,1,1.0,1
94,35,2,2.0,2
94,55,4,4.0,4
94,70,2,2.0,2
94,71,4,4.0,4
94,77,4,4.0,4
94,81,2,2.0,2
95,0,7,7.0,7
95,10,2,2.0,2
95,11,2,2.0,2
95,14,8,7.5,7
95,15,12,12.0,12
95,18,5,4.5,4
95,22,3,3.0,3
95,31,1,1.0,1
95,41,6,6.0,6
95,61,2,2.0,2
95,66,4,4.0,4
95,70,1,1.0,1
95,71,4,4.0,4
95,77,14,13.0,12
95,92,13,13.0,13
96,10,26,26.0,26
96,28,4,4.0,4
96,41,13,13.0,13
96,59,1,1.0,1
96,61,1,1.0,1
96,92,10,10.0,10
97,0,5,5.0,5
97,8,1,1.0,1
97,11,2,2.0,2
97,12,3,3.0,3
97,14,3,3.0,3
97,17,1,1.0,1
97,41,4,4.0,4
97,71,1,1.0,1
97,77,5,5.0,5
97,95,2,2.0,2
98,11,1,1.0,1
98,14,2,2.0,2
98,61,2,2.0,2
98,76,2,2.0,2
98,77,5,5.0,5
98,97,4,4.0,4
99,11,1,1.0,1
99,18,3,3.0,3
99,29,1,1.0,1
99,35,3,3.0,3
99,51,3,3.0,3
99,54,2,2.0,2
99,55,3,3.0,3
99,70,1,1.0,1
99,71,23,23.0,23
99,77,19,19.0,19
99,80,3,3.0,3
99,93,2,2.0,2
100,99,1,1.0,1
101,11,3,3.0,3
101,12,1,1.0,1
101,17,1,1.0,1
101,18,2,2.0,2
101,29,2,2.0,2
101,35,3,2.5,2
101,41,2,2.0,2
101,53,3,3.0,3
101,54,4,4.0,4
101,55,2,2.0,2
101,61,1,1.0,1
101,66,1,1.0,1
101,70,1,1.0,1
101,71,10,9.5,9
101,76,3,3.0,3
101,77,12,12.0,12
101,80,3,3.0,3
101,92,1,1.0,1
101,93,2,2.0,2
101,95,1,1.0,1
102,1,27,27.0,27
102,2,4,4.0,4
102,7,2,2.0,2
102,8,1,1.0,1
102,11,28,28.0,28
102,12,4,4.0,4
102,15,1,1.0,1
102,17,2,2.0,2
102,18,45,44.5,44
102,24,1,1.0,1
102,26,4,4.0,4
102,29,7,7.0,7
102,35,8,8.0,8
102,41,5,5.0,5
102,51,5,5.0,5
102,52,5,4.0,3
102,53,1,1.0,1
102,54,19,19.0,19
102,55,21,21.0,21
102,58,3,3.0,3
102,61,6,5.5,5
102,65,1,1.0,1
102,66,1,1.0,1
102,70,5,5.0,5
102,71,149,148.5,148
102,76,1,1.0,1
102,77,221,221.0,221
102,78,1,0.5,0
102,80,25,24.5,24
102,92,2,2.0,2
102,93,11,11.0,11
102,95,2,2.0,2
102,97,3,3.0,3
102,99,16,16.0,16
102,101,9,9.0,9
103,6,1,1.0,1
103,13,1,1.0,1
103,16,1,1.0,1
103,35,12,11.0,10
103,37,2,1.5,1
103,52,1,0.5,0
103,58,2,1.5,1
103,77,1,1.0,1
103,89,1,1.0,1
104,10,15,15.0,15
104,11,2,2.0,2
104,31,1,1.0,1
104,35,10,10.0,10
104,41,140,140.0,140
104,55,1,1.0,1
104,70,6,6.0,6
104,71,7,7.0,7
104,73,2,2.0,2
104,77,11,11.0,11
104,84,19,19.0,19
104,92,27,27.0,27
104,95,5,5.0,5
104,96,13,13.0,13
104,102,4,4.0,4
105,71,1,1.0,1
105,77,4,3.5,3
105,86,4,3.5,3
105,99,2,2.0,2
106,2,2,2.0,2
106,11,3,3.0,3
106,14,2,2.0,2
106,35,3,3.0,3
106,53,1,1.0,1
106,61,5,5.0,5
106,71,2,2.0,2
106,77,7,7.0,7
106,80,1,1.0,1
106,95,2,2.0,2
106,98,7,6.5,6
106,101,2,2.0,2
106,102,3,3.0,3
107,8,1,1.0,1
107,11,2,2.0,2
107,12,4,4.0,4
107,17,1,1.0,1
107,41,7,7.0,7
107,54,1,1.0,1
107,76,2,2.0,2
107,77,4,4.0,4
107,92,1,1.0,1
107,95,1,1.0,1
107,97,1,1.0,1
108,4,1,1.0,1
108,18,4,2.0,0
108,20,1,0.5,0
108,25,1,1.0,1
108,32,6,4.0,2
108,34,2,2.0,2
108,41,2,2.0,2
108,45,4,2.5,1
108,46,2,2.0,2
108,47,4,4.0,4
108,50,1,1.0,1
108,56,2,2.0,2
108,61,1,1.0,1
108,64,1,1.0,1
108,66,6,6.0,6
108,71,2,2.0,2
108,77,2,1.5,1
108,78,1,1.0,1
108,95,3,3.0,3
109,69,3,3.0,3
110,0,1,1.0,1
110,14,4,4.0,4
110,15,3,2.5,2
110,61,16,16.0,16
110,66,3,2.5,2
110,77,2,2.0,2
110,95,9,9.0,9
110,97,10,10.0,10
110,98,2,2.0,2
110,102,2,2.0,2
110,106,3,3.0,3
111,41,5,5.0,5
111,107,3,3.0,3
112,33,5,5.0,5
112,41,5,5.0,5
113,11,2,2.0,2
113,12,2,2.0,2
113,17,2,2.0,2
113,18,2,2.0,2
113,53,1,1.0,1
113,54,2,2.0,2
113,55,4,4.0,4
113,65,1,1.0,1
113,70,3,3.0,3
113,71,3,3.0,3
113,76,2,2.0,2
113,77,14,14.0,14
113,80,2,2.0,2
113,93,1,1.0,1
113,99,1,1.0,1
113,101,1,1.0,1
113,102,9,9.0,9
114,2,1,1.0,1
114,8,1,1.0,1
114,14,1,1.0,1
114,17,1,1.0,1
114,18,1,1.0,1
114,53,2,2.0,2
114,61,3,3.0,3
114,66,1,1.0,1
114,71,2,2.0,2
114,77,3,3.0,3
114,78,1,1.0,1
114,80,1,1.0,1
114,97,2,2.0,2
114,98,5,5.0,5
114,102,4,4.0,4
114,106,3,3.0,3
114,110,3,3.0,3
116,18,3,1.5,0
116,50,1,1.0,1
116,71,2,1.0,0
116,78,5,5.0,5
117,2,2,2.0,2
117,61,10,10.0,10
117,102,2,2.0,2
117,106,6,6.0,6
118,11,1,1.0,1
118,17,1,1.0,1
118,18,5,5.0,5
118,53,1,1.0,1
118,54,1,1.0,1
118,55,3,3.0,3
118,65,3,3.0,3
118,70,2,2.0,2
118,71,3,3.0,3
118,76,1,1.0,1
118,77,7,7.0,7
118,80,4,4.0,4
118,99,4,4.0,4
118,101,1,1.0,1
118,102,7,7.0,7
118,113,2,2.0,2
119,11,2,2.0,2
119,29,1,1.0,1
119,36,1,1.0,1
119,51,1,1.0,1
119,55,2,2.0,2
119,71,7,7.0,7
119,77,9,9.0,9
119,80,4,4.0,4
119,99,1,1.0,1
119,102,8,7.5,7
120,41,46,46.0,46
120,104,6,6.0,6
121,11,1,1.0,1
121,18,1,1.0,1
121,51,1,1.0,1
121,77,5,5.0,5
121,102,3,3.0,3
122,45,1,1.0,1
122,71,5,4.0,3
122,108,1,1.0,1
123,66,1,1.0,1
123,108,4,4.0,4
124,10,14,14.0,14
124,15,6,6.0,6
124,28,7,7.0,7
124,31,3,3.0,3
124,33,4,4.0,4
124,41,29,29.0,29
124,71,3,3.0,3
124,77,3,3.0,3
124,92,11,11.0,11
124,95,20,20.0,20
124,96,46,46.0,46
124,97,2,2.0,2
124,104,10,10.0,10
124,107,1,1.0,1
124,110,1,1.0,1
124,112,1,1.0,1
124,120,1,1.0,1
125,41,4,4.0,4
125,77,1,1.0,1
125,92,2,2.0,2
125,95,5,5.0,5
125,102,1,0.5,0
125,124,1,1.0,1
126,2,1,1.0,1
126,20,3,3.0,3
126,30,3,3.0,3
126,50,3,2.5,2
126,66,2,2.0,2
126,71,2,2.0,2
126,87,2,2.0,2
126,108,1,1.0,1
127,2,1,1.0,1
127,11,4,4.0,4
127,18,2,2.0,2
127,53,2,2.0,2
127,54,2,2.0,2
127,55,2,2.0,2
127,71,11,11.0,11
127,77,8,8.0,8
127,80,1,1.0,1
127,93,2,2.0,2
127,99,1,1.0,1
127,102,16,15.5,15
127,113,1,1.0,1
127,117,4,3.5,3
127,118,1,1.0,1
127,119,1,1.0,1
128,109,1,1.0,1
129,16,1,1.0,1
129,35,1,1.0,1
129,52,1,1.0,1
129,58,2,1.0,0
129,71,4,4.0,4
129,72,2,2.0,2
129,83,5,4.5,4
130,71,1,1.0,1
130,87,1,1.0,1
130,126,1,1.0,1
131,10,1,1.0,1
131,41,2,2.0,2
131,71,3,2.5,2
131,77,1,1.0,1
131,92,1,1.0,1
131,95,6,6.0,6
131,102,1,1.0,1
131,108,2,2.0,2
131,122,2,2.0,2
131,124,2,2.0,2
132,45,5,3.5,2
132,71,3,1.5,0
132,108,3,1.5,0
132,122,7,6.0,5
133,7,2,2.0,2
133,19,2,2.0,2
133,26,2,2.0,2
133,35,30,28.5,27
133,40,3,3.0,3
133,41,1,1.0,1
133,44,6,6.0,6
133,49,3,3.0,3
133,52,8,6.5,5
133,60,1,1.0,1
133,62,3,3.0,3
133,71,4,4.0,4
133,77,4,4.0,4
133,85,3,3.0,3
133,91,1,1.0,1
133,102,3,2.0,1
133,104,2,1.5,1
134,84,2,2.0,2
134,128,2,2.0,2
135,11,1,1.0,1
135,53,1,1.0,1
135,71,1,1.0,1
135,77,2,2.0,2
135,80,1,1.0,1
135,99,1,1.0,1
135,102,12,12.0,12
135,113,1,1.0,1
136,41,4,4.0,4
136,92,2,2.0,2
136,104,1,1.0,1
136,111,1,1.0,1
137,11,2,2.0,2
137,18,2,2.0,2
137,71,2,2.0,2
137,77,2,2.0,2
137,102,2,2.0,2
138,2,3,3.0,3
138,4,1,1.0,1
138,18,22,21.5,21
138,20,1,0.5,0
138,26,1,1.0,1
138,30,1,1.0,1
138,34,2,2.0,2
138,35,1,1.0,1
138,36,1,1.0,1
138,38,1,0.5,0
138,46,2,2.0,2
138,47,1,0.5,0
138,50,1,1.0,1
138,55,2,1.5,1
138,61,2,2.0,2
138,63,1,1.0,1
138,71,80,79.5,79
138,74,1,1.0,1
138,75,1,1.0,1
138,77,21,20.5,20
138,78,1,0.5,0
138,87,1,1.0,1
138,88,1,1.0,1
138,99,1,1.0,1
138,102,17,17.0,17
138,114,1,1.0,1
138,116,1,1.0,1
138,117,5,5.0,5
138,119,2,2.0,2
138,126,1,1.0,1
138,130,3,3.0,3
139,4,1,1.0,1
139,66,1,1.0,1
139,108,4,4.0,4
140,4,3,3.0,3
140,25,1,1.0,1
140,77,1,1.0,1
140,78,1,1.0,1
141,10,1,1.0,1
141,109,1,1.0,1
141,128,1,1.0,1
142,15,4,4.0,4
142,22,1,1.0,1
142,41,4,4.0,4
142,92,1,1.0,1
142,95,8,8.0,8
142,124,3,3.0,3
143,4,1,1.0,1
143,7,1,1.0,1
143,9,2,1.5,1
143,11,5,5.0,5
143,17,1,1.0,1
143,18,1,1.0,1
143,26,2,2.0,2
143,29,2,2.0,2
143,35,10,10.0,10
143,36,2,1.5,1
143,41,13,13.0,13
143,51,3,3.0,3
143,52,3,2.0,1
143,53,3,3.0,3
143,54,5,5.0,5
143,55,11,11.0,11
143,58,2,1.5,1
143,60,2,2.0,2
143,61,2,2.0,2
143,65,2,2.0,2
143,70,4,3.5,3
143,71,34,33.5,33
143,76,2,2.0,2
143,77,27,26.0,25
143,78,1,1.0,1
143,80,21,21.0,21
143,86,1,1.0,1
143,92,2,2.0,2
143,93,4,4.0,4
143,94,1,1.0,1
143,95,3,3.0,3
143,97,1,1.0,1
143,98,1,1.0,1
143,99,4,4.0,4
143,101,4,4.0,4
143,102,42,41.5,41
143,103,1,0.5,0
143,104,3,3.0,3
143,105,1,1.0,1
143,106,1,1.0,1
143,107,2,2.0,2
143,108,3,3.0,3
143,110,3,3.0,3
143,113,3,3.0,3
143,118,1,1.0,1
143,119,1,1.0,1
143,121,1,1.0,1
143,124,3,3.0,3
143,127,3,3.0,3
143,133,2,1.5,1
143,138,11,10.5,10
144,5,2,2.0,2
144,6,1,1.0,1
144,9,4,3.5,3
144,16,1,1.0,1
144,27,4,4.0,4
144,35,1,1.0,1
144,44,2,2.0,2
144,57,5,4.5,4
144,58,6,5.5,5
144,71,8,7.5,7
144,77,1,1.0,1
144,83,1,1.0,1
144,90,1,1.0,1
144,103,2,2.0,2
144,143,4,4.0,4
145,10,4,4.0,4
145,69,1,1.0,1
145,73,1,1.0,1
145,104,2,2.0,2
146,10,77,70.5,64
146,35,2,1.0,0
146,40,2,2.0,2
146,41,3,3.0,3
146,48,3,2.5,2
146,69,7,5.0,3
146,73,4,4.0,4
146,92,3,2.5,2
146,104,3,3.0,3
146,124,1,1.0,1
146,145,2,2.0,2
147,49,4,3.5,3
147,62,2,2.0,2
147,85,1,1.0,1
148,2,1,1.0,1
148,20,1,1.0,1
148,30,8,7.5,7
148,39,1,1.0,1
148,66,1,1.0,1
148,71,3,3.0,3
148,138,1,1.0,1
149,20,3,3.0,3
149,34,2,2.0,2
149,39,2,2.0,2
149,50,4,4.0,4
149,61,3,3.0,3
149,63,2,1.5,1
149,66,3,3.0,3
149,71,4,4.0,4
149,74,2,1.5,1
149,77,4,4.0,4
149,78,6,5.5,5
149,102,1,0.5,0
149,106,1,1.0,1
149,108,1,1.0,1
149,114,2,2.0,2
149,116,1,1.0,1
149,126,1,1.0,1
149,138,1,0.5,0
149,143,1,1.0,1
149,148,1,1.0,1
150,146,1,0.5,0
151,10,2,2.0,2
151,146,1,0.5,0
152,41,3,3.0,3
152,124,1,1.0,1
153,41,3,3.0,3
153,84,2,2.0,2
153,104,3,3.0,3
154,11,2,2.0,2
154,18,3,3.0,3
154,29,1,1.0,1
154,51,9,9.0,9
154,53,1,1.0,1
154,54,3,3.0,3
154,55,30,29.5,29
154,65,6,6.0,6
154,68,2,2.0,2
154,70,3,3.0,3
154,71,15,15.0,15
154,77,26,26.0,26
154,80,11,11.0,11
154,93,1,1.0,1
154,94,6,5.5,5
154,99,3,3.0,3
154,102,14,14.0,14
154,113,10,10.0,10
154,118,8,8.0,8
154,127,2,2.0,2
154,138,1,1.0,1
154,143,15,15.0,15
155,14,3,3.0,3
155,15,5,4.5,4
155,61,2,2.0,2
155,66,2,2.0,2
155,71,1,1.0,1
155,77,2,2.0,2
155,95,22,21.5,21
155,97,3,3.0,3
155,102,1,1.0,1
155,106,2,2.0,2
155,110,2,2.0,2
155,114,1,1.0,1
155,124,2,2.0,2
155,125,1,1.0,1
155,142,1,1.0,1
156,0,4,4.0,4
156,14,6,6.0,6
156,15,1,1.0,1
156,35,3,3.0,3
156,41,4,4.0,4
156,55,1,1.0,1
156,71,2,1.5,1
156,95,3,3.0,3
156,97,3,3.0,3
156,102,2,1.5,1
156,110,6,6.0,6
156,124,3,3.0,3
156,142,1,1.0,1
156,154,1,1.0,1
156,155,14,13.5,13
157,84,1,1.0,1
157,104,3,2.5,2
157,134,1,1.0,1
158,7,2,2.0,2
158,9,1,1.0,1
158,13,1,1.0,1
158,23,1,1.0,1
158,26,7,7.0,7
158,35,1,1.0,1
158,40,1,1.0,1
158,44,10,10.0,10
158,49,7,7.0,7
158,52,2,2.0,2
158,58,4,4.0,4
158,60,3,3.0,3
158,62,2,2.0,2
158,71,1,1.0,1
158,85,1,1.0,1
158,90,2,2.0,2
158,91,2,2.0,2
158,103,3,2.5,2
158,133,8,8.0,8
158,143,2,2.0,2
158,144,2,2.0,2
158,147,2,2.0,2
159,10,9,9.0,9
159,69,1,1.0,1
159,92,1,1.0,1
159,96,1,1.0,1
159,104,1,1.0,1
160,7,4,4.0,4
160,23,2,2.0,2
160,26,5,5.0,5
160,40,2,2.0,2
160,158,1,1.0,1
161,7,4,4.0,4
161,23,8,8.0,8
161,26,10,10.0,10
161,35,1,1.0,1
161,40,7,7.0,7
161,44,4,4.0,4
161,49,1,1.0,1
161,52,2,2.0,2
161,58,2,2.0,2
161,60,6,5.5,5
161,62,1,1.0,1
161,71,2,2.0,2
161,133,4,4.0,4
161,143,2,2.0,2
161,158,2,2.0,2
161,160,1,1.0,1
162,10,4,4.0,4
162,14,2,2.0,2
162,28,2,2.0,2
162,33,1,1.0,1
162,35,1,1.0,1
162,41,13,13.0,13
162,84,2,2.0,2
162,92,11,11.0,11
162,96,5,5.0,5
162,104,15,15.0,15
162,120,5,5.0,5
162,124,9,9.0,9
162,157,1,1.0,1
162,159,2,2.0,2
163,8,1,1.0,1
163,11,4,4.0,4
163,17,2,2.0,2
163,18,6,6.0,6
163,29,2,2.0,2
163,35,2,2.0,2
163,41,2,2.0,2
163,51,3,3.0,3
163,53,2,2.0,2
163,54,3,3.0,3
163,55,8,7.5,7
163,65,1,1.0,1
163,70,5,5.0,5
163,71,15,15.0,15
163,76,3,3.0,3
163,77,44,44.0,44
163,80,7,7.0,7
163,93,2,2.0,2
163,99,15,15.0,15
163,101,4,4.0,4
163,102,29,29.0,29
163,113,2,2.0,2
163,118,1,1.0,1
163,127,2,2.0,2
163,143,9,9.0,9
163,154,31,31.0,31
164,2,2,2.0,2
164,4,3,3.0,3
164,11,6,6.0,6
164,18,18,18.0,18
164,26,12,12.0,12
164,35,9,8.5,8
164,36,9,8.5,8
164,54,2,2.0,2
164,55,5,5.0,5
164,70,2,2.0,2
164,71,53,52.0,51
164,77,64,63.0,62
164,78,1,1.0,1
164,93,1,1.0,1
164,99,12,12.0,12
164,102,20,19.0,18
164,119,7,7.0,7
164,126,1,1.0,1
164,135,1,1.0,1
164,138,4,4.0,4
164,139,1,1.0,1
164,143,23,22.5,22
164,154,3,3.0,3
164,163,2,2.0,2
165,5,2,2.0,2
165,6,1,1.0,1
165,27,7,6.5,6
165,35,1,1.0,1
165,44,1,1.0,1
165,57,4,4.0,4
165,58,9,9.0,9
165,71,1,1.0,1
165,77,1,1.0,1
165,83,2,2.0,2
165,129,2,2.0,2
165,144,3,3.0,3
165,158,1,1.0,1
166,2,1,1.0,1
166,10,2,2.0,2
166,11,1,1.0,1
166,12,2,2.0,2
166,14,12,11.0,10
166,15,2,1.5,1
166,18,1,1.0,1
166,26,1,1.0,1
166,31,1,1.0,1
166,35,1,1.0,1
166,41,6,6.0,6
166,53,1,1.0,1
166,55,1,1.0,1
166,61,4,4.0,4
166,66,1,1.0,1
166,71,1,1.0,1
166,77,9,9.0,9
166,80,2,2.0,2
166,92,2,2.0,2
166,93,1,1.0,1
166,95,16,16.0,16
166,96,1,1.0,1
166,97,5,5.0,5
166,98,5,5.0,5
166,102,4,4.0,4
166,104,6,6.0,6
166,106,2,2.0,2
166,108,1,1.0,1
166,110,3,2.5,2
166,114,2,2.0,2
166,124,2,2.0,2
166,125,1,1.0,1
166,138,1,1.0,1
166,142,2,2.0,2
166,143,3,3.0,3
166,149,1,1.0,1
166,154,1,1.0,1
166,155,6,6.0,6
166,156,6,5.5,5
166,162,3,3.0,3
166,163,1,1.0,1
167,45,1,1.0,1
167,71,5,5.0,5
167,95,1,1.0,1
167,122,7,6.5,6
167,131,7,7.0,7
167,132,2,1.5,1
168,11,8,8.0,8
168,18,4,4.0,4
168,29,3,3.0,3
168,53,3,3.0,3
168,54,5,5.0,5
168,55,1,1.0,1
168,71,7,7.0,7
168,77,16,15.5,15
168,80,4,4.0,4
168,93,1,1.0,1
168,99,2,2.0,2
168,101,5,5.0,5
168,102,34,34.0,34
168,106,2,2.0,2
168,114,2,2.0,2
168,135,3,3.0,3
168,143,4,4.0,4
168,154,1,1.0,1
168,163,2,2.0,2
168,164,1,1.0,1
168,166,1,1.0,1
169,2,1,1.0,1
169,8,27,27.0,27
169,11,13,13.0,13
169,12,21,21.0,21
169,17,12,12.0,12
169,18,2,2.0,2
169,29,8,8.0,8
169,35,2,2.0,2
169,41,48,47.0,46
169,51,2,2.0,2
169,52,3,3.0,3
169,53,11,11.0,11
169,54,24,24.0,24
169,55,3,3.0,3
169,58,4,4.0,4
169,61,11,11.0,11
169,65,3,3.0,3
169,70,9,9.0,9
169,71,11,11.0,11
169,76,5,4.5,4
169,77,47,46.5,46
169,80,28,28.0,28
169,92,9,9.0,9
169,93,4,4.0,4
169,95,2,2.0,2
169,97,2,1.5,1
169,101,10,10.0,10
169,102,34,34.0,34
169,104,9,9.0,9
169,106,2,2.0,2
169,107,38,36.5,35
169,111,51,50.0,49
169,113,8,8.0,8
169,114,2,2.0,2
169,118,4,4.0,4
169,125,2,2.0,2
169,127,4,4.0,4
169,131,1,1.0,1
169,133,1,1.0,1
169,135,5,5.0,5
169,136,2,2.0,2
169,137,7,7.0,7
169,138,2,2.0,2
169,143,4,4.0,4
169,152,1,1.0,1
169,154,4,4.0,4
169,163,4,4.0,4
169,164,2,2.0,2
169,166,1,1.0,1
169,168,2,2.0,2
170,18,5,3.0,1
170,32,7,6.5,6
170,46,1,1.0,1
170,66,2,2.0,2
170,74,1,1.0,1
170,108,8,6.5,5
170,143,3,1.5,0
170,149,1,1.0,1
171,6,4,4.0,4
171,13,1,0.5,0
171,27,1,0.5,0
171,144,3,3.0,3
171,165,4,4.0,4
172,6,2,2.0,2
172,16,2,1.5,1
172,35,2,2.0,2
172,57,1,0.5,0
172,82,3,2.5,2
172,129,5,4.5,4
172,144,1,0.5,0
173,35,3,3.0,3
174,16,1,1.0,1
174,57,1,0.5,0
174,82,1,1.0,1
174,172,1,1.0,1
175,10,2,1.0,0
175,69,1,1.0,1
175,146,3,2.5,2
176,4,1,1.0,1
176,36,1,1.0,1
176,164,2,1.5,1
177,2,2,2.0,2
177,14,8,8.0,8
177,15,7,7.0,7
177,28,1,1.0,1
177,35,1,1.0,1
177,39,1,0.5,0
177,41,2,2.0,2
177,56,1,0.5,0
177,61,57,55.5,54
177,64,1,1.0,1
177,66,9,9.0,9
177,71,4,4.0,4
177,77,10,10.0,10
177,92,1,1.0,1
177,95,35,35.0,35
177,96,7,6.5,6
177,97,12,12.0,12
177,102,8,8.0,8
177,106,11,10.5,10
177,108,2,2.0,2
177,110,18,17.5,17
177,114,7,6.0,5
177,117,2,2.0,2
177,124,6,5.5,5
177,138,4,4.0,4
177,143,3,3.0,3
177,149,1,1.0,1
177,155,7,7.0,7
177,156,40,39.5,39
177,162,5,5.0,5
177,166,9,9.0,9
178,2,1,1.0,1
178,18,5,5.0,5
178,20,2,2.0,2
178,30,1,1.0,1
