step,S_total,I_total,R_total,countries_reached,countries_currently_infected,imported_infectious_pressure_total,new_imported_infections_total,simulation
332,47642801,46822889,7260411889,225,223,19903,26,0
333,47580843,45049524,7262247212,225,223,19401,27,0
334,47521295,43340620,7264015664,225,223,18556,22,0
335,47464276,41697587,7265715716,225,223,18032,31,0
336,47409703,40116480,7267351396,225,223,17292,25,0
337,47357391,38595367,7268924821,225,223,16536,23,0
338,47307341,37132538,7270437700,225,222,16168,17,0
339,47258970,35727247,7271891362,225,222,15300,21,0
340,47212460,34370208,7273294911,225,222,14688,28,0
341,47167680,33066075,7274643824,225,222,14110,13,0
342,47124817,31810700,7275942062,225,222,13768,21,0
343,47083323,30605863,7277188393,225,222,13356,17,0
344,47043580,29446297,7278387702,225,222,12682,21,0
345,47005312,28328799,7279543468,225,222,12160,19,0
346,46968485,27254989,7280654105,225,222,11686,11,0
347,46933441,26220215,7281723923,225,222,11403,18,0
348,46899664,25225916,7282751999,225,222,10792,7,0
349,46867095,24269508,7283740976,225,222,10452,17,0
350,46835615,23350111,7284691853,225,222,9921,14,0
351,46805702,22464519,7285607358,225,221,9715,10,0
352,46776769,21611354,7286489456,225,221,9322,11,0
353,46749006,20791224,7287337349,225,221,8894,11,0
354,46722381,20002249,7288152949,225,221,8567,12,0
355,46696587,19243086,7288937906,225,221,8172,13,0
356,46672047,18512504,7289693028,225,221,8035,10,0
357,46648352,17811154,7290418073,225,221,7808,6,0
358,46625481,17135126,7291116972,225,221,7262,11,0
359,46603690,16484162,7291789727,225,221,6918,7,0
360,46582456,15859634,7292435489,225,221,6789,8,0
361,46562329,15258142,7293057108,225,221,6539,14,0
362,46542937,14678600,7293656042,225,220,6238,9,0
363,46524322,14121940,7294231317,225,220,6084,9,0
364,46506240,13586621,7294784718,225,220,5807,10,0
365,46489018,13070635,7295317926,225,220,5746,7,0
